Litter,Initial_date,Final_Date,1,2,3,4,5,6
Alfalfa,0,1,4936.148241,7713.403675,3439.218117,3804.612217,3591.839198,5556.971181
Alfalfa,1,2,56204.46958,73637.59266,101622.806,97916.55148,81500.62456,68924.70112
Alfalfa,2,4,37007.21603,114146.1448,128309.7258,143977.3107,121638.1182,82509.47283
Alfalfa,4,6,50548.39208,31547.81496,65638.71567,77481.89918,14304.62885,31547.81496
Alfalfa,6,7,24305.09312,27603.58542,25364.37074,29649.18378,20944.8681,25054.30405
Alfalfa,7,9,16581.07934,29774.37179,35628.67808,41207.28962,25523.91701,27203.49216
Alfalfa,9,10,6991.34421,9763.680132,10153.07567,8718.751445,8288.730542,5443.020231
Alfalfa,10,13,9044.497656,22557.59348,21903.97712,20742.28126,9319.978108,8374.63835
Alfalfa,13,15,9861.55518,12464.12709,11701.56366,9245.279432,10678.06867,8905.886832
Alfalfa,15,18,8250.291989,9992.786432,7441.501841,6820.919103,5590.431148,6543.046235
Alfalfa,18,20,5205.690803,4792.734007,6425.796395,3206.649227,7496.702152,4939.178171
Alfalfa,20,28,11128.2943,10801.56346,15910.03405,9627.571024,13865.13667,11534.88429
Alfalfa,28,39,10767.1025,13359.67639,10484.90701,12469.8545,12145.97693,11967.46887
Alfalfa,39,49,9080.470901,11554.31344,6787.603741,7588.864883,7416.214624,9926.303474
Alfalfa,49,64,14322.06272,11260.21728,11353.52695,6942.595522,11009.63463,11804.39353
Alfalfa,64,76,7922.899006,5970.124849,7308.5956,4352.135308,9909.945344,5698.988607
Alfalfa,76,95,6079.929819,11061.33472,9032.302392,7793.482138,14769.43078,7201.128819
Alfalfa,95,118,10857.47807,8909.283572,7665.864796,-99.99,-99.99,-99.99
Alfalfa,118,152,8353.039907,12126.46728,7514.983259,-99.99,-99.99,-99.99
Alfalfa,152,181,4838.668908,8363.557755,7026.765041,-99.99,-99.99,-99.99
Alfalfa,181,228,7409.8948,11601.22409,15534.15648,-99.99,-99.99,-99.99
Alfalfa,228,284,6741.759152,6704.742143,11883.78914,-99.99,-99.99,-99.99
Alfalfa,284,365,13571.07145,12750.52619,11178.97596,-99.99,-99.99,-99.99
Ash,0,1,1806.48622,1378.20118,1492.236974,1517.863755,1354.873371,1579.598945
Ash,1,4,21784.39288,19582.32377,20753.52551,5111.359094,29102.7643,14934.23985
Ash,4,7,16905.32992,17001.11862,19053.3586,19120.27947,19091.41165,10293.1544
Ash,7,10,4667.868349,5422.856409,12168.63984,1610.179627,10955.1277,7636.385252
Ash,10,15,10547.53073,10693.20076,14603.00373,6134.856872,17729.87579,10761.60867
Ash,15,20,8474.074853,6708.784687,5123.533499,1933.720039,23493.89111,9839.769304
Ash,20,28,21800.62255,20103.37238,22188.76708,3846.350412,31096.37672,19098.90138
Ash,28,39,12265.84668,28355.51511,26273.1803,24653.31752,25206.58903,23303.43186
Ash,39,49,19677.06098,21378.02152,18620.54887,16678.81857,15936.14566,16981.87703
Ash,49,64,32854.16751,3127.230884,22017.47386,21100.36838,18535.08985,20267.85325
Ash,64,76,14583.70488,10763.41387,13185.5078,14784.9043,11352.4425,15293.45307
