Litter,Initial_date,Final_date,1,2,3,4,5,6
Alfalfa,10,15,14110.36,12448.36,19054.36,11650.36,10432.36,9670.36
Alfalfa,15,20,3131.56,1400.56,4362.16,2205.76,2523.16,2151.76
Alfalfa,20,28,447.16,1066.96,1512.76,1167.76,1315.36,1098.16
Alfalfa,28,39,499.36,905.56,658.96,-99.99,1129.36,747.76
Alfalfa,39,64,756.25,735.29,877.45,144.84,929.09,717.25
Alfalfa,64,76,412.07,353.3,370.55,136.22,556.51,309.42
Alfalfa,76,95,300.76,427.36,351.16,57.04,552.76,328.96
Alfalfa,95,118,347.02,425.72,319.22,-99.99,-99.99,-99.99
Alfalfa,118,152,301.73,335.33,600.13,-99.99,-99.99,-99.99
Alfalfa,152,181,227.92,310.82,598.82,-99.99,-99.99,-99.99
Alfalfa,181,228,189.68,44.98,379.48,-99.99,-99.99,-99.99
Alfalfa,228,284,84.62,37.45,88.45,-99.99,-99.99,-99.99
Alfalfa,284,365,46.34,47.46,78.06,-99.99,-99.99,-99.99
Ash,10,15,8212.36,10816.36,13072.36,6070.36,6526.36,11506.36
Ash,15,20,3613.4,7876.4,6076.4,4865,6424.4,7378.4
Ash,20,28,3175.4,6322.4,6358.4,7840.4,7018.4,4783.4
Ash,28,39,4355.6,5716.4,5602.4,6820.4,4441.4,3742.4
Ash,39,64,7388.8,11641.7,5065.9,2925.9,6991.7,7370.7
Ash,64,76,7626,7130.5,3776.8,2933.9,5430.8,5969.6
Ash,76,95,5091.2,4097,1809.8,1989.8,3429.8,4333.4
Ash,95,118,6480.8,4732.8,2437.8,-99.99,-99.99,-99.99
Ash,118,152,9937.7,4643.7,1532.7,-99.99,-99.99,-99.99
Ash,152,181,8093.1,3507.1,1056.1,-99.99,-99.99,-99.99
Ash,181,228,2940.2,1900.2,976.2,-99.99,-99.99,-99.99
Ash,228,284,1701.5,1051.2,758.7,-99.99,-99.99,-99.99
Ash,284,365,1624.4,1081.4,624.5,-99.99,-99.99,-99.99
Bluestem,10,15,4902.76,6340.36,4823.56,4165.96,5812.36,5546.56
Bluestem,15,20,3579.76,4263.16,3255.16,3982.96,4416.76,3724.96
Bluestem,20,28,2516.56,3576.76,3126.16,3628.96,5374.96,3043.96
Bluestem,28,39,2339.56,4327.36,5276.56,4850.56,5550.16,3363.16
Bluestem,39,64,4587.36,3786.95,11843.39,8570.48,7162.28,2941.65
Bluestem,64,76,2924.8,3897.34,9343.79,7020.18,7022.54,2973.25
Bluestem,76,95,2381.56,4186.96,8590.36,5281.36,3987.76,2325.76
Bluestem,95,118,2908.82,4614.82,11118.82,-99.99,-99.99,-99.99
Bluestem,118,152,2524.73,4955.73,7043.73,-99.99,-99.99,-99.99
Bluestem,152,181,2934.12,5022.12,5627.12,-99.99,-99.99,-99.99
Bluestem,181,228,3962.18,5422.18,3776.18,-99.99,-99.99,-99.99
Bluestem,228,284,2482.22,3905.72,2025.47,-99.99,-99.99,-99.99
Bluestem,284,365,2530.41,3682.41,2216.16,-99.99,-99.99,-99.99
Oak,10,15,5396.56,8884.36,5405.56,9244.36,4667.56,4053.16
Oak,15,20,3775.36,6046.36,4137.76,5569.96,3105.16,4598.56
Oak,20,28,4704.16,6922.36,5086.96,4882.96,4389.76,4921.96
Oak,28,39,4134.16,4786.96,5890.36,5139.16,4254.76,6772.36
Oak,39,64,3332,2247.59,3286.31,3280.79,3383.6,4906.02
Oak,64,76,2385.16,2304.8,2954.34,1968.02,2113.76,3001.61
Oak,76,95,1417.36,1413.76,2124.76,1387.96,2069.56,2121.16
Oak,95,118,2210.82,1439.82,2200.82,-99.99,-99.99,-99.99
Oak,118,152,1280.73,885.73,1696.73,-99.99,-99.99,-99.99
Oak,152,181,1174.12,1088.12,1354.12,-99.99,-99.99,-99.99
Oak,181,228,901.28,791.48,796.18,-99.99,-99.99,-99.99
Oak,228,284,822.47,609.85,758.72,-99.99,-99.99,-99.99
Oak,284,365,600.51,674.84,696.66,-99.99,-99.99,-99.99
Pine,10,15,1914.16,2371.36,2793.16,2314.36,2308.36,2383.96
Pine,15,20,1323.76,1642.96,2017.96,1983.16,1797.16,966.16
Pine,20,28,1494.16,2295.16,2083.36,2725.36,2197.36,1793.56
Pine,28,39,2211.16,1729.96,2097.16,3490.36,2269.96,1884.16
Pine,39,64,-99.99,1151.76,1403.47,1939.96,1231.33,1388.5
Pine,64,76,1039.95,1213.7,1353.93,1175.49,771.35,1376.77
Pine,76,95,648.76,591.16,764.56,722.56,858.16,742.96
Pine,95,118,505.12,820.72,969.82,-99.99,-99.99,-99.99
Pine,118,152,475.63,533.13,431.32,-99.99,-99.99,-99.99
Pine,152,181,752.32,644.32,699.52,-99.99,-99.99,-99.99
Pine,181,228,539.28,322.78,234.58,-99.99,-99.99,-99.99
Pine,228,284,176.05,342.4,169.07,-99.99,-99.99,-99.99
Pine,284,365,181.04,200.16,195.51,-99.99,-99.99,-99.99
